Ni-en-11_0	B
Gu-ch-09_112	A
An-ar-03_44	D
An-ar-43_150	A
Th-en-38_0	B
New-pe-20_4	D
Jod-ch-09_60	B
New-as-02_0	A
Ni-en-03_24	B
New-pe-49_20	D
Ni-en-15_10	A
New-ch-23_70	D
Ki-pe-32_0	C
New-am-53_660	D
New-ch-38_0	C
New-su-88_0	B
New-ch-27_120	D
Ki-pe-34_10	B
New-ch-72_0	C
New-pe-74_0	B
Sa-en-37_0	D
Na-ko-23_21	D
New-spme-04_678	C
New-en-02_236	D
Th-en-22_42	B
Ne-ar-11_24	B
Th-en-03_48	A
New-az-12_165	D
New-en-19_0	D
Al-en-43_19	C
New-am-34_24	B
New-spme-65_198	C
New-en-08_167	C
Ne-ar-37_400	A
New-en-19_215	A
Kik-in-45_0	B
Jo-sp-32_1	D
New-pe-83_0	C
Ji-ko-42_1	C
Jod-ch-15_57	C
New-az-05_259	C
New-en-05_0	A
Ji-ko-45_90	D
Ji-ko-03_0	D
Jo-sp-32_76	C
Ca-sp-45_0	A
New-am-74_0	B
Al-en-19_152	A
Jod-ch-09_0	B
New-en-87_0	C
New-en-68_95	A
New-gr-76_0	D
New-ch-66_40	B
New-az-73_9	C
New-am-15_0	C
Ta-pe-10_97	A
Th-en-15_30	D
New-en-68_102	B
New-pe-16_412	D
Ne-ar-18_22	C
New-az-73_0	A
New-ch-30_0	D
Na-ko-20_0	D
Ca-sp-41_1	D
An-ar-36_1364	D
Na-ko-39_44	C
New-su-82_103	B
Ca-sp-29_260	D
Na-ko-30_16	B
An-ar-03_0	D
Th-en-15_16	D
Ca-sp-29_0	C
New-ch-78_40	C
Ki-pe-51_0	C
New-spme-04_528	D
Ne-ar-26_56	C
Kik-in-10_0	A
New-ha-66_35	A
Ne-ar-39_0	D
New-gr-88_14	C
Na-ko-04_95	B
New-ch-27_0	D
New-az-27_14	C
Kik-in-10_1638	B
New-en-69_286	B
Ji-ko-07_330	D
Ki-pe-34_89	D
Ni-en-15_64	B
Sa-en-16_0	C
New-gr-24_94	A
New-ko-04_2	C
Gu-ch-07_76	D
New-az-21_420	A
New-as-30_0	C
Al-en-43_31	D
New-as-20_272	D
New-gr-24_0	C
Al-en-35_38	B
Al-en-37_20	B
Na-ko-20_497	C
Na-ko-25_112	D
New-pe-86_20	A
New-ch-16_0	A
Ca-sp-42_146	B
Kik-in-10_3224	C
New-ch-17_0	C
New-gr-89_44	A
New-en-76_120	D
Sa-en-13_813	B
Th-en-35_0	A
Kik-in-35_14	C
New-in-33_0	D
Ji-ko-08_1	B
New-am-60_15	D
Na-ko-15_155	A
Sa-en-6_433	C
Kik-in-44_1	D
New-in-34_165	A
Kik-in-02_0	A
New-as-76_78	B
Ca-sp-08_95	C
Ta-pe-17_56	C
New-ch-09_105	A
Gu-ch-18_28	A
New-ha-08_20	D
Ne-ar-38_120	A
Ta-pe-37_657	A
New-gr-76_20	A
Jod-ch-04_0	B
Sa-en-7_0	C
New-su-45_9	D
New-en-07_0	A
Gu-ch-15_0	D
Sa-en-16_165	C
Ta-pe-13_37	C
New-en-18_4	C
Jod-ch-50_66	C
Nu-in-20_8	C
New-ch-51_104	B
Na-ko-07_0	A
Ji-ko-33_12	A
Na-ko-40_44	C
Na-ko-16_780	D
Ki-pe-43_0	C
New-en-05_522	B
Ne-ar-31_2860	C
New-en-18_189	B
New-gr-89_0	A
Kik-in-01_35	A
Th-en-39_0	B
An-ar-08_30	D
Jod-ch-61_99	A
New-in-01_322	C
An-ar-36_0	B
Gu-ch-15_60	B
New-ch-64_32	C
Th-en-24_364	D
Kik-in-01_256	D
Ne-ar-31_286	C
Ki-pe-39_227	C
Th-en-37_20	B
New-su-21_95	D
New-ch-72_65	C
Ni-en-13_0	A
New-en-50_308	B
New-su-77_5	B
New-pe-06_280	B
New-am-77_0	B
New-ha-07_770	B
New-am-60_34	C
New-as-76_169	C
Ne-ar-37_0	C
New-ch-04_115	C
Sa-en-13_453	B
New-spme-68_115	B
Sa-en-1_111	C
Jod-ch-01_60	A
New-pe-11_312	B
Ji-ko-42_96	D
Ni-en-02_146	A
Jod-ch-16_0	B
Jod-ch-48_0	C
Jo-sp-31_0	B
Jod-ch-38_20	A
New-ch-75_0	B
Ne-ar-44_40	B
New-am-41_26	C
Kik-in-11_516	D
Jod-ch-01_145	D
Ta-pe-23_0	B
Ne-ar-39_120	A
Th-en-05_0	A
Jod-ch-58_0	A
Ni-en-21_20	A
Al-en-06_0	A
Ji-ko-27_15	C
Ki-pe-51_1	C
Ta-pe-25_22	A
New-as-15_39	B
Gu-ch-33_0	A
New-en-50_0	D
Jod-ch-37_0	C
New-in-01_0	C
Ne-ar-39_489	D
New-en-49_56	D
Kik-in-02_5	B
Ta-pe-23_157	D
Nu-in-40_286	A
Na-ko-40_29	D
New-pe-02_0	C
New-as-80_44	C
Jo-sp-02_96	C
Ji-ko-19_1	B
New-as-15_4	C
New-am-04_56	C
New-as-01_1037	C
Na-ko-24_20	D
New-ch-82_70	C
Na-ko-39_84	B
New-as-02_10	A
Ji-ko-37_25	B
Ji-ko-24_75	B
New-ch-83_3822	D
New-as-07_0	C
New-en-07_22	B
Ni-en-11_22	B
Th-en-45_35	D
New-gr-58_109	D
New-ko-01_0	B
Ca-sp-06_2	A
New-az-60_33	C
New-pe-11_692	D
Ni-en-17_0	A
New-ch-71_4	B
New-ch-51_179	B
Ta-pe-25_26	B
Gu-ch-08_0	D
Jo-sp-14_3	A
New-as-05_0	C
New-ch-23_35	C
Ji-ko-38_28	D
Th-en-35_28	A
New-ch-66_47	A
Jod-ch-09_110	D
Ji-ko-29_84	A
Al-en-37_75	A
Ji-ko-37_0	D
Na-ko-26_252	C
New-gr-29_0	B
Jod-ch-38_0	D
New-en-90_684	B
New-in-62_31	C
Jo-sp-32_110	C
New-su-15_112	B
Ne-ar-25_0	C
Ni-en-20_56	A
Na-ko-04_40	C
Ne-ar-38_443	D
New-as-80_0	A
Kik-in-07_0	A
Ki-pe-30_0	C
New-pe-16_0	D
Ta-pe-29_19	D
Th-en-09_10	A
New-ch-82_140	C
Ca-sp-09_180	B
Th-en-12_660	A
Ni-en-06_16	C
Jo-sp-01_237	D
New-ch-08_110	C
Ni-en-20_0	A
Ni-en-03_3	B
New-gr-05_301	A
New-pe-83_84	C
Ca-sp-43_10	B
New-en-47_10	C
Kik-in-45_56	D
Ne-ar-32_636	A
Th-en-39_56	B
Kik-in-31_0	B
New-en-02_20	A
New-ko-07_31	A
New-en-59_453	A
Ki-pe-24_0	A
An-ar-36_1990	B
New-su-75_32	A
New-in-03_1100	C
New-gr-13_11	D
Na-ko-16_0	B
New-su-15_0	D
Na-ko-09_0	D
New-ko-03_0	D
New-as-30_237	D
Th-en-05_14	A
New-gr-13_3	B
Ne-ar-05_231	B
Na-ko-24_384	B
Ca-sp-41_41	C
Ji-ko-08_10	C
New-en-68_10	B
New-gr-06_217	B
